Estado,Población
AGUASCALIENTES,1312544
BAJA CALIFORNIA,3315766
BAJA CALIFORNIA SUR,712029
CAMPECHE,899931
CHIAPAS,5217908
CHIHUAHUA,3556574
CIUDAD DE MÉXICO,8918653
COAHUILA,2954915
COLIMA,711235
DURANGO,1754754
GUANAJUATO,5853677
GUERRERO,3533251
HIDALGO,2858359
JALISCO,7844830
MICHOACÁN,4584471
MORELOS,1903811
MÉXICO,16187608
NAYARIT,1181050
NUEVO LEÓN,5119504
OAXACA,3967889
PUEBLA,6168883
QUERETARO,2038372
QUINTANA ROO,1501562
SAN LUIS POTOSÍ,2717820
SINALOA,2966321
SONORA,2850330
TABASCO,2395272
TAMAULIPAS,3441698
TLAXCALA,1272847
VERACRUZ,8112505
YUCATÁN,2097175
ZACATECAS,1579209
NACIONAL,119530753
